,Trips possible,Total travel time,Mean Travel time,Available paths,Unavailable paths,Trips impossible,Trips total,Nodes,Isolated nodes,Edges,Mean travel time (id. set)
"(1717, 2530)",1398892.0119103873,609625216.4945184,435.7914773292528,6505175,187394,38606.98809850461,1437499,2587,0,5508,435.6942077329471
"(146, 2515)",1398504.637033827,610295860.0026586,436.3917314547287,6502628,189941,38994.36297505879,1437499,2587,0,5508,435.65642289350683
"(2210, 1717)",1398892.0119103873,609775741.4547266,435.8990803171365,6505175,187394,38606.98809850461,1437499,2587,0,5508,435.6942077329471
"(1546, 2210)",1398892.0119103873,609738213.4907191,435.872253397197,6505175,187394,38606.98809850461,1437499,2587,0,5508,435.6942077329471
"(165, 160)",1398723.227231893,609488624.6573184,435.7464098623078,6502623,189946,38775.77277702113,1437499,2587,0,5508,435.68654741067655
"(1827, 1794)",1398892.0119103873,609972695.1655391,436.0398729652721,6505175,187394,38606.98809850461,1437499,2587,0,5508,435.6942077329471
"(1742, 841)",1398892.0119103882,612152734.8595263,437.5982775279013,6505175,187394,38606.98809850461,1437499,2587,0,5508,435.6942077329471
"(2201, 216)",1398477.8290315773,611403486.8806447,437.1921200238344,6502628,189941,39021.17097733006,1437499,2587,0,5508,435.6908590545985
"(576, 1222)",1398892.0119103873,609738970.6207067,435.8727946326756,6505175,187394,38606.98809850461,1437499,2587,0,5508,435.6942077329471
"(1763, 233)",1398892.0119103873,609890222.6163306,435.98091734288926,6505175,187394,38606.98809850461,1437499,2587,0,5508,435.6942077329471
"(208, 2201)",1398892.0119103873,611473000.0187864,437.112368083175,6505175,187394,38606.98809850461,1437499,2587,0,5508,435.6942077329471
"(209, 2201)",1398892.011910387,611249236.2379533,436.95241021728697,6505175,187394,38606.98809850461,1437499,2587,0,5508,435.6942077329471
"(1402, 1401)",1398892.0119103873,610534704.3938737,436.441626083847,6505175,187394,38606.98809850461,1437499,2587,0,5508,435.6942077329471
"(515, 1402)",1398892.0119103873,609876975.3996611,435.9714475506846,6505175,187394,38606.98809850461,1437499,2587,0,5508,435.6942077329471
"(2201, 209)",1398892.0119103873,611119827.9996436,436.8599025489265,6505175,187394,38606.98809850461,1437499,2587,0,5508,435.6942077329471
"(1635, 12)",1398892.011910387,610226556.7146786,436.22134626483927,6505175,187394,38606.98809850461,1437499,2587,0,5508,435.6942077329471
"(2194, 2514)",1396897.733154151,610514892.7206872,437.0505286325892,6500077,192492,40601.266854677604,1437499,2587,0,5508,435.5818450203836
"(38, 43)",1398614.290720861,610524943.3631567,436.52131070996387,6502628,189941,38884.70928803884,1437499,2587,0,5508,435.6752904558592
"(43, 42)",1398892.0119103873,610385004.6118047,436.3346129757626,6505175,187394,38606.98809850461,1437499,2587,0,5508,435.6942077329471
"(516, 814)",1398892.0119103873,609491196.465064,435.69567291524993,6505175,187394,38606.98809850461,1437499,2587,0,5508,435.6942077329471
"(149, 150)",1398395.2429184958,610599871.5945779,436.6432699815514,6502623,189946,39103.75709042043,1437499,2587,0,5508,435.6426804266207
"(387, 386)",1398337.4266462324,611739745.7431066,437.4764874957978,6502623,189946,39161.57336268996,1437499,2587,0,5508,435.66598553321586
